Newick tree (s):
[&R] ((((((216_42:0.09626778087131856,216_43:0.09626778087131856)194_29:0.24821911721551534,(216_40:0.1501223446679632,216_41:0.1501223446679632)200_33:0.19436455341887068)155_17:0.4175266716088132,((216_44:0.052256258911784786,216_45:0.052256258911784786)196_33:0.3831075952212596,(216_46:0.1948156495836172,216_47:0.1948156495836172)196_34:0.2405482045494272)155_18:0.3266497155626027)109_9:0.2530892522078432,(((216_32:0.05035437576965293,216_33:0.05035437576965293)202_30:0.5461626515299529,(216_34:0.1490619329699894,216_35:0.1490619329699894)203_32:0.44745509432961644)162_15:0.24482224971875038,((216_36:0.08009834500101733,216_37:0.08009834500101733)204_34:0.37465755262507383,(216_38:0.1561814441381664,216_39:0.1561814441381664)204_35:0.2985744534879248)162_16:0.3865833793922649)112_9:0.17376354488513396)64_7:0.005,(((216_26:0.20711956247145547,216_27:0.20711956247145547)196_21:0.10644434934497508,(216_24:0.08889173515642365,216_25:0.08889173515642365)197_20:0.22467217666000688)151_10:0.005000000054509247,((216_20:0.08378162031416884,216_21:0.08378162031416884)194_16:0.06804412847534651,(216_22:0.1468257486750293,216_23:0.1468257486750293)198_19:0.005000000114486073)154_9:0.16673816308142445)107_5:0.7015389100280193)18_2:0.1990118374779613,((((216_12:0.06322021650595129,216_13:0.06322021650595129)201_10:0.05150313697226619,(216_10:0.10972335317380309,216_11:0.10972335317380309)207_9:0.005000000304414372)167_5:0.3855978961066071,216_17:0.5003212495848245)120_3:0.7137934099408225,(216_3:0.3852939718137786,216_4:0.3852939718137786)194_3:0.8288206877118685)20_1:0.005)virtual:0.005000000001219841;
Negative-llh: (380.0590268485872, 'optimal')
Dropout rate: 1e-10
Silencing rate: 1e-10
Sigma: 10.079380388099207
Inferred locations:
194_29 354.8249090008992 205.4419314730014
200_33 173.51551390304894 158.32687664127388
155_17 343.4392257402409 234.76653347167604
196_33 250.54409856325674 122.07231028932823
196_34 228.68460255891733 215.9309790344646
155_18 320.9971134850598 141.98597014457008
109_9 313.17292032736134 204.16406084432202
202_30 193.88618856021782 148.8638205401275
203_32 258.62091281569764 237.47860904634626
162_15 242.04225626000522 183.6532062304121
204_34 348.0680876069179 140.63247416232758
204_35 302.206960272332 181.645028203817
162_16 303.92774987405005 223.94696410198134
112_9 185.88072257230658 123.54108812224025
64_7 197.22969748415713 237.09830243399242
196_21 351.0868302947532 128.25210911488193
197_20 294.89346423288595 220.25888740408868
151_10 345.78534657429645 224.54928956565044
194_16 205.5946542277247 134.5328027077933
198_19 247.284778842638 164.36600545560955
154_9 223.499708964656 122.0536097961668
107_5 182.6547561223657 152.9977535801036
18_2 178.50249921954395 185.04816939637038
201_10 251.0951745425242 225.12865308445538
207_9 316.4607206036161 211.9060809198725
167_5 308.00553493298696 120.23250090228612
120_3 219.3629065786631 248.91071570089687
194_3 333.2646546436794 240.60964296015436
20_1 315.59276507307703 142.91162453667678
virtual 204.79522737109332 147.0893830714941
