Newick tree (s):
[&R] (((((216_19:0.26770028744754726,216_20:0.26770028744754726)178_10:0.5230301629697526,(216_21:0.2737527456412936,216_22:0.2737527456412936)181_12:0.5169777047760062)132_5:0.005000000038579049,((216_23:0.7857304504113855,216_24:0.7857304504113855)179_13:0.005000000023863884,(216_25:0.09376543243616875,216_26:0.09376543243616875)189_22:0.6969650179990805)136_9:0.0050000000206295745)83_3:0.26798751637321855,((216_29:0.8015188834141544,216_30:0.8015188834141544)173_14:0.005000000041647742,(216_27:0.8015188835094377,216_28:0.8015188835094377)175_14:0.005)130_7:0.25719908337329517)38_2:0.2347581899596599,((((216_17:0.2402642650510038,216_18:0.2402642650510038)187_13:0.8135084404635748,216_15:1.0537727055145785)135_4:0.005000000010559147,((216_13:0.12723375078220855,216_14:0.12723375078220855)208_12:0.10035247216730289,(216_11:0.22258622292065128,216_12:0.22258622292065128)209_11:0.005000000028860174)173_6:0.8311864825756262)89_2:0.005000000029568971,(((216_1:0.40645686380755036,216_2:0.40645686380755036)185_1:0.005000000062053517,(216_3:0.4064568638100023,216_4:0.4064568638100023)186_3:0.005000000059601576)140_1:0.6473158416941903,((216_5:0.3126877113274768,216_6:0.3126877113274768)187_5:0.7410849942015317,216_8:1.0537727055290087)146_3:0.005000000034785588)97_1:0.005)40_1:0.23470345123405056)virtual:0.005000000003125955;
Negative-llh: (427.60740733208615, 'optimal')
Dropout rate: 1.8091540844403135e-10
Silencing rate: 1.6131955163403644e-10
Sigma: 24.048465418418612
Inferred locations:
178_10 202.69220442448648 170.81981787806254
181_12 169.4881655359539 136.586004217448
132_5 207.40139355594025 146.3951873203344
179_13 208.25416080514043 145.97729673084453
189_22 232.85517938182997 128.66031512728736
136_9 208.13312621949967 146.05008123007207
83_3 207.82885122295318 146.25174913890666
173_14 220.3780405797263 161.86495774248127
175_14 246.7865594822262 131.12303357163793
130_7 213.62366293338366 148.74398669549393
38_2 213.23908874376784 148.8226787422893
187_13 168.39225494730022 171.13220965561334
135_4 187.99714672518965 161.85848673283616
208_12 165.56545771669363 89.58144759952441
209_11 153.21545152288402 97.01367856037227
173_6 161.24981236814546 97.03177995103533
89_2 187.90787225056587 161.6589863768019
185_1 182.06306256747942 187.85858009652588
186_3 182.92181027338864 187.75876320263703
140_1 182.492387728882 187.7260423800431
187_5 182.34909885724352 172.78468187043666
146_3 182.31742917099112 172.4275459837651
97_1 182.49814093743163 172.2494571442887
40_1 187.98942316733195 161.86919878781413
virtual 200.12569763181259 155.59089986173365
